Team,Logo
BKN,https://a.espncdn.com/i/teamlogos/nba/500/BKN.png
LAC,https://a.espncdn.com/i/teamlogos/nba/500/LAC.png
MIL,https://a.espncdn.com/i/teamlogos/nba/500/MIL.png
CHI,https://a.espncdn.com/i/teamlogos/nba/500/CHI.png
UTA,https://a.espncdn.com/i/teamlogos/nba/500/UTAH.png
DEN,https://a.espncdn.com/i/teamlogos/nba/500/DEN.png
LAL,https://a.espncdn.com/i/teamlogos/nba/500/LAL.png
MIA,https://a.espncdn.com/i/teamlogos/nba/500/MIA.png
PHX,https://a.espncdn.com/i/teamlogos/nba/500/PHX.png
TOR,https://a.espncdn.com/i/teamlogos/nba/500/TOR.png
PHI,https://a.espncdn.com/i/teamlogos/nba/500/PHI.png
GSW,https://a.espncdn.com/i/teamlogos/nba/500/GSW.png
NOP,https://a.espncdn.com/i/teamlogos/nba/500/NO.png
IND,https://a.espncdn.com/i/teamlogos/nba/500/IND.png
SAC,https://a.espncdn.com/i/teamlogos/nba/500/SAC.png
DAL,https://a.espncdn.com/i/teamlogos/nba/500/DAL.png
BOS,https://a.espncdn.com/i/teamlogos/nba/500/BOS.png
ATL,https://a.espncdn.com/i/teamlogos/nba/500/ATL.png
HOU,https://a.espncdn.com/i/teamlogos/nba/500/HOU.png
CHA,https://a.espncdn.com/i/teamlogos/nba/500/CHA.png
POR,https://a.espncdn.com/i/teamlogos/nba/500/POR.png
WAS,https://a.espncdn.com/i/teamlogos/nba/500/WAS.png
MEM,https://a.espncdn.com/i/teamlogos/nba/500/MEM.png
OKC,https://a.espncdn.com/i/teamlogos/nba/500/OKC.png
DET,https://a.espncdn.com/i/teamlogos/nba/500/DET.png
SAS,https://a.espncdn.com/i/teamlogos/nba/500/SAS.png
NYK,https://a.espncdn.com/i/teamlogos/nba/500/NYK.png
MIN,https://a.espncdn.com/i/teamlogos/nba/500/MIN.png
CLE,https://a.espncdn.com/i/teamlogos/nba/500/CLE.png
ORL,https://a.espncdn.com/i/teamlogos/nba/500/ORL.png
